Grade,Course Name,Period,Teacher,Location,Term
9,BAND,10,R. Kaserman,MUS,ALYR
9,SPANISH I,2,F. Vaughan,134,ALYR
9,ALGEBRA II,3,D. Fennell,132,ALYR
9,WORLD STUDIES,4,R. Sparks,124,ALYR
9,ENGLISH 9,5,S. Emert,122,ALYR
9,LUNCH,6,Z. McFarren,CAFE,ALYR
9,GEOMETRY,7,I. Haver,127,ALYR
9,CHOIR,8,H. Carr,AUD,ALYR
9,PHYSICAL SCIENCE,9,R. Yobi,133,ALYR
12,MEDIA,2,L. Delciappo,BSMT,SEM1
12,MEDIA,2,L. Delciappo,BSMT,SEM2
12,TRIGONOMETRY,3,J. Warner,121,SEM1
12,STATISTICS,3,J. Warner,121,SEM2
12,CAREER EXPL I,4,M. Doty,136,SEM1
12,CAREER EXPL II,4,M. Doty,136,SEM2
12,ENGLISH 12,5,J. Augspurger,120,ALYR
12,H & H INDEP TO RECONSTRUCT,6,M. Shipley,125,SEM1
12,H & H INDUSTRIAL TO TODAY,6,M. Shipley,125,SEM2
12,LUNCH,7,Z. McFarren,CAFE,ALYR
9,FLEX TIME,1,M. Doty,CAFE,ALYR
9,PHYSICAL SCIENCE,10,R. Yobi,133,ALYR
9,ALGEBRA I,2,I. Haver,127,ALYR
9,WIN READING/WRITING,3,R. Harmon,LIB,SEM1
9,WIN READING/WRITING,3,R. Harmon,LIB,SEM2
9,STEM 1,4,B. Welch,129,SEM1
9,STUDY HALL,4,J. Reynolds,LIB,SEM2
9,WORLD STUDIES,5,R. Sparks,124,ALYR
9,LUNCH,6,Z. McFarren,CAFE,ALYR
9,STUDY HALL,7,J. Reynolds,LIB,SEM1
9,MATH PREP,7,J. Warner,121,SEM2
9,FINANCIAL LITERACY,8,D. Fennell,132,SEM1
9,COMPUTER APPLICATIONS,8,M. Doty,136,SEM2
9,ENGLISH 9,9,S. Emert,122,ALYR
9,FLEX TIME,1,M. Doty,CAFE,ALYR
9,WORLD STUDIES,10,R. Sparks,124,ALYR
9,PHYSICAL SCIENCE,2,R. Yobi,133,ALYR
9,ENGLISH 9,3,S. Emert,122,ALYR
9,GEOMETRY,4,I. Haver,127,ALYR
9,DRAMA I,5,L. Delciappo,ART,SEM1
9,DRAMA II,5,L. Delciappo,ART,SEM2
9,ALGEBRA II,6,D. Fennell,132,ALYR
9,LUNCH,7,Z. McFarren,CAFE,ALYR
9,STUDY HALL,8,J. Reynolds,LIB,SEM1
9,FINANCIAL LITERACY,8,D. Fennell,132,SEM2
9,HISTORY OF MODERN MUSIC,9,R. Kaserman,121,SEM1
9,STUDY HALL,9,J. Reynolds,LIB,SEM2
10,FLEX TIME,1,M. Doty,LIB,ALYR
10,STUDY HALL,10,J. Reynolds,LIB,ALYR
